question,answer,image_id
what is behind the papers book,monitor,image621
what is above the towel,blinds,image693
what is on the right side of the bathtub,curtain,image737
what are the objects on the bed,"pillow, jacket, bed_sheets",image540
what is on the left side of the night stand,bed,image525
what is the tall white object on the table,tissue_roll,image448
what is the largest object,table,image39
what is the largest object,sofa,image1333
what is on the table left side of the chair,paper,image637
what are the objects on the shelf,books,image626
how many lamps are there on the table,2,image466
what is the object on the floor in front of the wall,refridgerator,image784
how many rectangle frames are there on the wall and above the lamp,1,image217
what color is the dresser below the white lamp shade,white,image248
what is the long object in the middle of the store in front of the shelves,column,image225
what is the red object in front of the wall,lamp,image93
what is the object close to the bed,ladder,image1077
what is on the right side of the plug point,canister,image57
what is the round object at the end of the room in front of the blue boxes,globe,image308
what is the object for air conditioning,fan,image595
what is the object on top of the shelf frame,cup,image98
what is stuck close to every shelf frame,sticker,image106
how many chairs are there,7,image842
what is on the wall,"mirror, decorative_item",image664
what is on the black drawer table,toy_doll,image530
what is the object below the counter,cabinet,image896
what is in front of the monitor,keyboard,image6
what is on the drawer table,basket,image552
what is in front of the hand wash liquid,towel,image771
what is the object kept close on the chair,jacket,image453
what is on the left side of the book rack,door,image549
what is the object close to the counter,sink,image807
what is on the left side of the stool,refridgerator,image875
how crest rails are behind the dining table,3,image1399
what is behind the tissue box,box,image380
what is in front of the mirror,cup,image688
what color are the cabinets,brown,image450
what is the decoration close to the wall,wall_decoration,image664
what are the objects on the front table,"coffee_packet, cup",image121
what is the largest object,bed,image1093
what is in front of the monitor,keyboard,image637
what is on the right side of the lamp,alarm_clock,image81
how many handles of the chair in front of the whiteboard is visible,1,image31
how many chairs are there,1,image1082
what color is the door of the doll house in front of the wall behind the armchair,"blue, red",image444
what is on the left side of the laptop,printer,image393
what is the object on the floor below the window,stool,image1119
what is on the right side of the towel,door,image690
what is the object close to the towel rod,towel,image659
what is on the left side of the bottle of liquid,cream_tube,image654
what is beneath the television,table,image642
how many monitors are there,3,image7
what is the object on the floor right of the wall,chair,image915
what is on the chair,clothes,image546
what is on the left side of the sink,bottle_of_hand_wash_liquid,image775
what is on the right side of the tap,bottle_of_hand_wash_liquid,image660
what is the object close to the sink,faucet,image861
how many frames are on the wall of the kitchen,2,image1351
what is on the right side of the monitor,ornamental_plant,image792
what color is the mirror frame on the right side of the bed,white,image515
what are the objects close to the wall,"exit_sign, poster_board, fire_alarm",image35
what is the electrical object on the cabinet,blender,image134
what is on the right side of the tissue rolls,toilet,image703
what is on the table predominantly,papers,image373
what is in front of the stool,towel,image444
what is the object on the table,paper,image618
what is on the right side of the garbage bin,bed,image61
what is the object close to the ceiling,spot_light,image95
what is in front of the blinds,foosball_table,image438
what is on the right side of the refrigerator,garbage_bin,image865
what is the object left of the cups on the counter,plant,image124
what is on the wall,picture,image441
what is the largest object,printer,image37
how many cobalt books are there in the bookshelf,2,image16
what is on the left side of the sink and the faucet handle on the top of the cabinet,cutting_board,image860
what is in front of the wall,stand,image459
what is the object on the floor in front of the wall,cabinet,image543
what is the largest object,bed,image971
what is the object on the floor left of the sink,toilet,image503
what color is the dresser,brown,image68
what is on the left side of the microwave,bottle,image570
what is the colour of the colour of the towels,purple,image733
what is in front of the cupboards,ladder,image425
what is on the right side of the glass,electric_toothbrush,image509
what color is the flower pattern on the glass on the right side of the faucet handle,white,image510
what is the object on the counter right of the cup rack,coffee_machine,image862
what is in front of the picture,"flower, vase",image832
what is the object on the counter below the microwave,toaster,image752
what is in the cartons close to the notebooks,file_holder,image93
what is the object on the floor left of the counter,dishwasher,image576
what is the largest object,blinds,image40
what is behind the table,cables,image464
what are the objects on the table,"picture, lamp, flower_pot",image1427
what color is the chair seat pad,black,image417
what are the objects kept on the table,"monitor, pen_holder, hand_sanitizer, tissue, file_holder, paper",image22
what is behind the chair,fruit,image810
waht is the object close to the door,door_knob,image912
what is the black object on the top of the microwave,coffee_machine,image570
what is on the wall,picture,image888
what is the object close to the wall in the shelf,microwave,image829
what is the object close to the counter,stove,image571
what is hung on the wall,basketball_hoop,image59
what is on the left side of the tissue roll,"knife_rack, knife",image898
how many doors does the cupboard have,2,image44
what is on the brown board on the wall,paper,image318
what color is the lamp shade close to the sofa in front of the curtain,white,image546
what is in front of the table,chair,image610
what is on the left side of the plate,bowl,image833
what is the object on the floor in front of the table,chair,image782
what colors are the notebooks on the blue table,"orange, white",image316
what is the largest object,bed,image1077
what are the objects on the table,"monitor, telephone, computer",image30
what is the object on the floor in front of the wall,cabinet,image1093
what is the object in front of the room divider on the floor,toilet,image718
what is the object on the floor close to the wall,piano,image1306
what is the object close to the counter,sink,image679
what is the colour of the chair,red,image599
how many chairs are there,1,image34
what is on the cartons,"book, bag",image400
how many pillows are there,2,image463
what is in front of the toilet,cloth_bag,image732
what is on the left side of the chair,table,image592
what is on the right side of the monitor,telephone,image93
what are filled on the tables,books,image84
what is on the bed,"comforter, pillow",image73
what is the object close to the wall,photo,image1026
what is the largest brown objects,carton,image3
what is the largest object,sofa,image1264
what is the object on the floor right of the chair,garbage_bin,image1058
what is behind the laptop,ornamental_plant,image378
how many blue objects are on the top of the cabinet but not below the tape dispenser or in the pen stand,1,image11
what is the yellow bowl,bowl,image751
how many lamp shades are in front of the window,2,image516
what is on the table,"cup, container, tissue",image432
what is on the right side of the sink,soap,image701
how many bowls are on the tv stand,2,image164
what is on the right side of the tissue roll,toothpaste,image511
what is the dark red object in this picture,curtain,image594
what is on the right side of the tissue roll,cream,image448
what is the object on the floor in the corner,lamp,image1167
how many people reflection are visible,2,image500
what color is the flower on the top pf the fan coil,purple,image50
what is in front of the door,ornamental_plant,image788
what is on the left side of the monitor,telephone,image609
what is the object on the floor right of the floor mat,pot,image683
how many chairs are there,6,image550
what is on the wall,clothing_hanger,image586
what is on the sofa,"pillow, clothes",image430
what are on the brown table,"book, magazine",image1345
what is the object close to the wall,clock,image94
what is the object on the floor left of the bed,stool,image1027
what is in the shelves beneath the table,doll,image114
what is the color of the cupboard that is close to the garbage bin,gray,image12
what is in front of the bowl,plate,image839
what is the object close to the towel rod,towel,image718
what is the black object on the top of the cabinet on the right side of the refrigerator,electrical_kettle,image843
what is above the stove,microwave,image845
what is the round object on the wall,clock,image336
what is in front of the bottle of hand wash liquid,shaver,image660
what is on the right side of the sink,jug,image818
what is the object right of the wall divider,garbage_bin,image54
what is the electric appliance on the top shelf of the bookcase and close to the basket,hair_dryer,image542
how many towels are in pink colour,4,image715
how many toothbrushes are in toothbrush holder,2,image44
what are the most predominant colours,"black, white",image78
what is the rectangular shaped object on the night stand on the right side of the bed,laptop,image79
what is the object on the floor close to the wall,cabinet,image928
how many drawers are there,4,image445
what is the smallest dark blue object on the desk,pen,image23
what is left side of the sofa,table,image43
what is suspended from the ceiling,light,image388
what is the object on the floor right of the bed,stool,image998
what is on the left side of the sofa,table,image372
what is the colour of the carpet,purple,image433
what is the object on the floor left side of the wall,chair,image925
what color is the curtain,white,image1401
what is the object close to the counter,sink,image735
what is the object on the floor in the corner,sofa,image592
what is on the left side of the blinds,decorative_item,image683
what is the object on the stool,lamp,image1027
what is on the left side of the fire extinguisher and on the right side of the chair,table,image1
what is the colour of the bag on the chair,pink,image399
how many drawers are visible,11,image890
what is the object on the counter right side of the sink,towel,image735
what is the object on the on the wall above the sink,mirror,image721
what is on the flush tank,tissue_box,image685
what is the big white object on the white wall and behind the desks and green chairs,whiteboard,image298
what is in front of the toilet,garbage_bin,image741
what is the object on the towel rod,towel,image709
what is on the table,paper,image586
what is on the top of the dresser close to the red deoderant,box,image82
what is the object on the floor left of the cabinet,bed,image530
what is in the basket,toy,image443
what is the colour of the bath tub,white,image48
what is seen in the mirror reflection,"curtain, table, bottle_of_liquid",image656
what is in front of the wall,pool_table,image433
what are the objects close to the counter below the cabinet,"faucet, sink",image137
what is in front of the monitor,paper,image585
what is on the right side of the faucet,bottle_of_hand_wash_liquid,image170
how many chairs are there,1,image1262
how many strollers are there,2,image86
what is on the left side of the mirror,garbage_bin,image529
what is the object on the floor in front of the room divider,stool,image836
what is on the table,bottle_of_liquid,image21
what is on the right side of the cellphone charger,plastic_box,image775
how many ornamental plants are there,3,image457
what is on the left side of books,mouse,image545
what is the yellow machine on the counter,electric_mixer,image134
what are the shelves made of,glass,image97
what is in front of the chair on the table,newspapers,image822
what is behind the decorative item on the flush tank,tissue_box,image677
what is on the table,"paper, decorative_item",image880
what are the objects hung close in the wardrobe,shirts_in_hanger,image59
what is the object on the table,bottle,image812
how many rows does the spice rack have,4,image252
how many chairs are around the conference table,6,image19
what is on the stove,hot_water_heater,image567
what is the object inside the cabinet,clothes,image530
what is on the floor in front of the toilet,floor_mat,image506
what kind of glass is in the sink,wine_glass,image204
what is the largest object,television,image68
what is on the right side of the ornamental plant,blinds,image900
what is behind the ornamental plant,window,image620
how many pillows are there on corner of the camel couch,1,image50
how many lamps are there,2,image1175
what is on the right side table,"coffee_machine, container, ornamental_plant",image872
what is on the left side of the cream,lint_roller,image67
what is in the sink,"plate, spatula",image840
what is in the clothes hanger,towel,image727
what is in front of the table,ornamental_plant,image464
what is the object on the shelf,toy,image590
what is the object right of the sink on the counter,towel,image679
what are objects on the table,"computer, monitor, telephone, keyboard",image31
what is on the refrigerator,"paper, magnet",image773
what is the largest object,bed,image1014
how many bins are there,2,image1
what is in front of the wall,table,image482
what is the largest red object in front of the shelf,sofa,image1293
how many mirrors are there,2,image674
how many pictures are there,4,image51
how many toy boxes are on the floor,2,image447
what is the object on the counter in front of the stove,hot_water_heater,image131
what is on the wall,"clock, decorative_plate",image547
what is the object on the floor in front of the room divider,bathtub,image739
what is the colour of the garbage bin,brown,image827
what is in the corner of the wall close to the garbage bin,water_dispenser,image414
how many pillows are there on the bed,2,image1168
how many doors are open,1,image1004
what is on the right side of the table,carton,image642
what are the objects on the bed,"pillow, blanket",image541
what is the object on the floor in front of the room divider,bathtub,image737
how many towel hangers are in the picture,2,image694
what is the large black object on the left side of the bedroom in front of the radiator,dresser,image172
what is the colour of the broom,yellow,image832
what is the colour of the towel,pink,image690
what is the object on the dark brown table,bottle_of_soap,image21
what are the objects on the bed,"blanket, pillow, clothes",image60
what is on the right side of the book,"globe, globe_stand",image481
what is on the right most side on the table,fruit,image838
what is the yellow object on the right side on the table,knife_rack,image766
what are objects on the top most shelves close to the wall,books,image43
how many sofas are there,3,image630
what is the object close to the wall,wall_decoration,image149
what are the objects on the bookshelf,books,image922
what is in front of the table,carton,image627
what is the largest object,bathtub,image669
what is on the left side of the sink,kitchen_utensils,image833
what is the object close to the refrigerator,paper,image768
what is on the left side of first monitor,papers,image387
what is above the kitchen utensils,tissue_roll,image573
how many chairs are there around the table,chair,image900
what is on the left side of the water cooler,garbage_bin,image411
what is the object above the shelves close to the wall,blackboard,image123
what are the objects on top of the bookshelf,wall_decoration,image84
what is above the tap,mirror,image684
what is on the left side of the tap,bottle_of_liquid,image804
what is between the computer chair and sofa and on the right side of the column,wall_divider,image22
what are the objects on the counter,"coffee_machine, hot_water_heater, cup",image862
how many sofas are there,2,image1086
what is on the left side of the cabinet and on the right side of the chair,whiteboard,image5
what is on the wall,shelves,image437
what is on the left side of the whiteboard,stacked_chairs,image5
what is at the base of the cupboard,glass,image784
what are the objects on the counter,"tissue, bottle_of_liquid, knife",image132
how many stands are there in front of the pillar,2,image96
what is the colour of the poster in the right side,purple,image118
what is the largest object on the counter,grill,image137
what is the object on the floor in front of the cabinet,garbage_bin,image541
what is on the left side of the lamp,cordless_phone,image379
what is on the stand,bottle_of_liquid,image713
what is on the hanger,towel,image848
what is the object on the below the table,floor_mat,image466
what is in front of the table,tissue,image640
what is the colour of the chair near the stacked chairs,red,image19
what is the toy kept on the shelf close to the wall,soft_toy,image634
what is suspended from the ceiling,light,image882
what is on the flush tank,tissue_box,image506
how many drawers are there,4,image785
what is on the left most side on the table,picture,image475
what is on the wall,picture,image724
what color is the shower curtain and drawer knobs,green,image729
how many drawers are there,8,image796
what is the object on the floor close to the wall in the corner,lamp,image1353
what is the object hanging on the hangers,jacket,image100
what is in front of the sofa,table,image588
what is on the left side of the drawer,dishwasher,image818
what is the object in front of the whiteboard,chair,image33
how many pillows are there on the bed,1,image64
what is the object close to the counter below the window,sink,image907
how many tooth brush are there,2,image45
what is on the right side of the ornamental plant,kitchen_utensil,image830
what is the object on the bed,pillow,image940
what is behind the table,window,image497
what is largest machine,printer,image10
how many red couches are there,2,image35
what is the object on the bed,pillow,image1162
what is the object on the flower in front of the wall,flower_pot,image457
what is in the laundry basket,clothes,image543
what is on the right side of the broom,chair,image832
what is the object on the table,paper,image1399
what is in the bin,paper,image612
what are the objects kept on the shelves,books,image108
what is the largest object,table,image1447
what is on the left side of the container,coffee_machine,image416
what is the object on the floor left of the bed,lamp,image1092
how many doors are open,1,image1019
what is on the right side of the keyboard,monitor,image471
how many electrical outlets are above the kitchen counter in this picture,1,image839
what is in front of the door and on the right of the table,chair,image5
how many purple pillows are there on the bed,1,image1196
what is the largest object,sofa,image1254
what is the large brown object on the white wall,cork_board,image9
what is the object on the counter below the cabinet,coffee_machine,image751
how many drawers are there,2,image529
how many drawers are open,1,image527
what is the object on the floor right of the bed,stool,image996
what is on the right side of the paper,stapler,image553
what is beneath the doors,drawer,image429
what is the object to the right side of the chair,monitor,image33
what is the red object on the desk on the right side of the mouse,pen_cup,image360
what is on the left side of the tap,cup,image700
how many doors does the night stand have,3,image56
how many lights are switched on,2,image19
how many high stools are in front of the kitchen counter,2,image263
what is the object on the floor in front of the window,sofa,image1298
what is the object on the counter in front of the toaster,tea_kettle,image874
what is the object close to the ceiling and in front of the window,projector_screen,image27
how many pictures are there on the wall,3,image1124
what is on the desk,"book, scissor, papers, tape_dispenser",image3
what are the objects hang close to the wall,clothes,image93
what is object on the floor right of the table,bag,image1069
what is behind the sofa,television,image579
what is on the right side of the rack,toy,image442
what is the metal object on top of the cabinet close to the oven knobs,can,image760
what is on the flush tank,tissue_box,image500
how many black stapler are there on the brown table,2,image38
what are the objects on the bed,clothes,image61
what are the objects on the shelf,books,image979
what is the object on the floor behind the toilet,garbage_bin,image730
what is the object close to the cabinet,bag,image1154
what is in between the machines,stapler,image38
what color is the window frame,blue,image575
what is the black object on the table,monitor,image552
what is on the left side of the printer,mirror,image529
how many curtains are there,2,image514
how many pairs of socks are on the toy table,1,image424
what is the object on the counter,bread,image860
what is on the right side of the garbage bin,curtain,image742
what is on the bigger table,"book, paper",image544
what is the largest object,bed,image520
what is on the left side of the toilet,glass,image696
what is the object on the spice stand,spice_bottle,image128
what is the object in front of the projector screen,table,image27
what are the objects on the counter,"box, bottle_of_liquid",image776
what color is the picture on the right side of the whiteboard,"yellow, red, orange",image290
what are the objects on the counter,"bottle, toaster, cup, dish_brush",image127
what is the object close to the wall above the counter,microwave,image811
what is the purple box the brown table,tissue_box,image419
what is on the right side of the wall,refridgerator,image411
what are the objects on the bed,"pillow, blanket",image1147
what is the object close to the counter below the window,sink,image908
what is on the wall,mirror,image719
what is the object on the floor in front of the chair,bag,image1154
what color is the dresser,brown,image1055
how many dark blue objects are on the bed,1,image534
how many pillows are there in on the bed,2,image70
what are the objects on the boxes,books,image93
what is on the wall,picture,image588
what is on the right side of the blinds,picture,image782
how many bathroom basins are in this picture,2,image661
what is on the left side of the curtain,bathtub,image706
what is on the right side of the curtains,picture,image580
what is on the left side of the towel,briefcase,image821
what is the white object below the brown bookshelf,dresser,image17
what is on the left side of the cupboard,microwave,image821
how many pink towels are on the pile of clothes,1,image419
what is the object on top of the cabinet below the ceiling close to the wall,modem,image13
what is the largest object on the table,monitor,image552
what is in between the chairs,stool,image434
how many ladders are there,1,image1201
how many chairs are there,4,image632
how many papers are stuck on the wall,1,image14
what is the object on the cabinet,lamp,image538
what are the machines,"printer, fax_machine",image24
how many lamps are there,1,image1048
what are the objects on the shelf,books,image1145
how many doors are open,1,image912
what is on the left side of the framed certificate,printer,image389
what is the largest object,bed,image1124
what is on the right side of the coffee table,chair,image383
what is on the side table,lamp,image580
what is the object on the table,telephone,image40
what is in front of the night stand,bucket,image540
what is on the right side of the microwave,refridgerator,image871
what is on the right most side on the table,coffee_machine,image750
what is the object on the floor in front of the cabinet,garbage_bin,image876
what is the object on the floor right of the door,floor_mat,image687
what is on the left side of the oven,refridgerator,image797
what is the object on the counter behind the bottles,knife_rack,image142
what are the objects in the bed,"hair_brush, clothes",image60
what is on the right side of the sink,towel,image735
how many doors are open,2,image925
what is the object behind the bed,lamp,image1138
what is on the stove,"clothes, tea_kettle",image835
what is the largest object,bed,image1027
what is on the right side of the tissue roll,basket,image759
what is the colour of bottles in the last shelf,"blue, white, black",image102
what is the object on the side of the garbage bin and close to the wall,fire_extinguisher,image1
what is in front of the table,chair,image569
how many chairs are there,4,image1383
what is the object on the floor in the corner,chair,image59
what is on the right side of the rack,door,image72
what is the object on the floor in front the cabinet,basket,image543
what is above the pool table,light,image426
what are on the wall on the left side of the green curtain but not behind the garbage bin,"clock, telephone",image8
how many frames are on the wall above the chair and the lamp shade,3,image588
what is the object on the floor in front of the cabinet,garbage_bin,image876
what is the colour of the chart on the table,yellow,image618
what are the objects that are attached close to the door,"door_knob, door_lock",image15
what are the objects on the cabinet table,"stapler, paper_cutter, tape",image37
what is the object close to the wall,picture,image1116
what is the largest dark gery object in this picture,door,image8
what is the object close to the wall below the mirror,sink,image664
what is on the right side of the cartons,bookshelf,image378
what is the largest object,bathtub,image669
what is on the left side of the stove,bottle_of_liquid,image572
what is in front of the stand,carton,image615
what are the objects kept on the rack,books,image87
how many drawers are there,4,image412
what is the object close to the counter in which the vessels are kept,sink,image132
what is above the desk in fornt of the scissor,hole_puncher,image9
what is the red object close to the pillar,fire_alarm,image109
what is on the left side of the chair,refridgerator,image565
what colors are the sticker notes on the shelves,"pink, yellow",image104
what are the objects in the cabinets,"computer, books, bottle",image63
which equipment is the largest,refridgerator,image2
what is the black object on the table,coffee_machine,image495
what is suspended from the ceiling,light,image830
what is in front of the remote control,paper,image598
how many red pillows are there on the sofa,2,image644
what is the colour of the drawer,pink,image819
what is on the right side of the books,paper,image604
what is the object on the floor behind the table,chair,image476
what are the objects kept on the rack of the whiteboard,"whiteboard_marker, duster",image42
what are objects on the side table right of the bed,"bottle, lamp, book, hand_sanitizer",image73
what is the object close to the wall above the counter,mirror,image721
what color is the cabinet above the kitchen counter,brown,image577
what is on the right side of the tap,bottle_of_hand_wash_liquid,image661
what is on the left most side of the whiteboard,plant,image120
what is the object on the shelf above the counter,microwave,image828
what is the object close to the wall above the table,television,image1213
what is on the blinds,curtain,image584
what is the object on the counter in the corner,microwave,image819
what color is the lamp shade near the laptop on the table,red,image93
what is between the the two white and black garbage bins,chair,image1
what is the object on the table in front of the lamp,file,image1021
what is in the last shelf on the right side of the lamp,cup,image382
what is the object close to the counter,stove,image892
what are the objects on the table,decoration_item,image1362
what color are the bed sheets,red,image989
how many ladders are next to the white wall,1,image16
what is the colour of the perfume bottle,brown,image498
what is the object close to the counter below the cabinet,"sink, faucet",image144
how many chairs are there,3,image596
what is the object in front of the counter,toilet,image705
what is the red object on the stove,tea_kettle,image129
what is on the left side of the table,chair,image821
what is the object close to the wall above the stove burner,microwave,image126
how many black armchairs are there,2,image1297
what is behind the bed,curtain,image515
what is on the ceiling,light,image796
what is the black and white object on the cabinet door between the pictures,clock,image13
what is the object close to the wall left of the wall,door,image618
what is the object close to the tissue rod,tissue,image705
what is the object on the floor right of the cabinet,bed,image1055
what is the large object on the white wall behind the white candles,mirror,image52
what is in front of the projector screen,ladder,image7
what is on the paper,pen,image620
what is in between the chairs,stool,image632
what is the object on the racks that are close to the wall,photo,image989
how many drawers are there,6,image827
what is on the right side of the chair on the table,laptop,image373
what is on the right side of the sofa,window,image430
what are the objects on the table close to the wall,"fan, pen_holder, bottle, pen, pencil, paper, hand_sanitizer",image77
what is on the sofa,"pillow, paper",image475
what is the colour of the bottle on the right side of the oven,green,image866
how many chairs are there,4,image864
what is in front of the drawer table,laundry_basket,image543
what is the object kept on the side stool,photo,image147
what are the objects close to the counter,"sink, faucet",image143
what are the objects kept close on the shelves,books,image106
how many monitors are there,1,image819
what is on the left side of the tap,"soap, soap_box",image808
what is the largest object,bed,image1029
what is the object on the counter in the corner,mirror,image674
what is the object above the counter,mirror,image720
what is on the right side of the black telephone and on the left side of the red chair,desk,image3
what is on the left side of the table,vacuum_cleaner,image489
what is the object right side of the table and left of the dustbin,wall_divider,image53
what is in front of the cupboard door,excercise_ball,image427
what is the object on the side rack,cup,image103
what are the objects close to the wall,"poster_board, hanger, fire_alarm, framed_certificate",image23
how many mats are there,2,image673
what is on the table,"lamp, paper",image592
what is in front of the bed,"tissue_box, paper",image532
what is the object close to the wall,picture,image888
what is on the right most side on the table,ornamental_item,image666
what is scattered on the table,paper,image890
what is the object on the stool,lamp,image992
what is on the table,"picture, books, papers, decorative_item",image381
what is the object on the floor left and right of the chairs,table,image828
what is around the table,chair,image434
what is the red object on the table,bottle,image528
what color is the frame of the window,white,image508
what color are the chairs,black,image284
what is on the towel,juicer,image858
what are the colours visible,"white, brown",image65
how many sink are there close to the counter,2,image671
what is on the left side of the 3 tier round table,window,image548
what color are the circles in the picture below the whiteboard,green,image285
what is on the wall,picture,image863
what color is the bookshelf in front of wall,brown,image80
what is the colour of the towel,white,image720
what is the object below the table,chair,image829
what is on the left side of the garbage bin,sink,image680
how many chairs are there in the room with writing flipboard attached close to it,3,image7
what is on the right side of the keyboard,mouse,image456
what is the object on the table right of the refrigerator,hot_water_heater,image843
how many armchairs are there,1,image592
what is the tall object in front of the mirror,ornamental_plant,image716
how many frames are on the wall,4,image396
how many drawers are there,5,image564
what is the colour of the decorative item on the wall,"brown, white",image799
what is on the left side of the door on the floor,headphones,image59
what color is the chandelier hanging from the ceiling,black,image245
what is the largest object,bed,image1163
what is the kept on top of the cpu left of the monitor,keyboard,image32
what is the object on the floor in front of the cabinet,sofa,image594
how many chairs are there,3,image458
how many cushions are on the black sofa,2,image249
what is the object on the sink table,tissue,image499
what is the object close to the counter,stove,image892
what is on the cabinet behind the roll of paper towels and the can,crock_pot,image206
how many computer mouses are in this picture,3,image336
what is spread on the floor below the dining table,rug,image1449
what is the object on the shelf above the counter,microwave,image829
what are the objects on the bed,"pillow, blanket, book",image1036
what is beneath the rack,"decorative_plate, bowl",image546
what is the object close to the wall right of the table,framed_certificate,image476
what is on the right side of the bottle of liquid,cell_phone_charger,image774
what is the object close to the counter,sink,image708
what is on the left side of the plastic cover,remote_control,image792
what is in front of the clock,business_cards,image453
what are the objects on the shelf frame,"hair_brush, toothbrush, makeup_brush, face_wash_cream, bottle_of_liquid",image44
what is behind the lamp,window,image605
what is the object close to the wall,poster_board,image628
what is the red object on the floor,floor_mat,image687
what is on the top shelf of the bookcase close to the face shape sculpture,decorative_candle,image207
what object is on the white wall above the celery couch,picture,image14
what color are the stars on the pillow,purple,image928
what is in between the monitor and printer,"papers, books",image389
how many sofas are there,2,image1331
what color are the pencil holders on the table on the right side of the room,green,image318
what is on the wall,picture,image535
what is the smallest object on the sofa,book,image50
what is the object close to the wall,wall_decoration,image572
what is the object on the floor in the doorway,toy_chair,image98
what is on the left side of the vase,stand,image878
what is on the right side of the notebook on the desk,plastic_cup_of_coffee,image4
what is above the monitors,bookshelf,image387
how many objects are there on the wall and above the pillows,1,image516
what is on the towels,cell_phone,image448
what is the object close to the wall,picture,image58
what is on the right side of the table,curtain,image75
what are the objects on the bed,"pillow, blanket, clothes, jacket",image70
what is on the left most side on the table,cordless_phone,image481
how many cobalt tooth brushes are there,2,image49
what is on the black colour stnad,"computer, keyboard",image485
what color is the red object in front of the wall on the left side of the desk,paper_tray,image9
what is between the two black chairs on the floor,ottoman,image434
what is on the right side of the tissue box,"paper_holder, paper",image624
how many tiers does the spice rack have,3,image133
what is on the wall,picture,image76
which is the largest object,door,image62
what are glued close to the cabinet doors,photo,image13
what is right side to the telephone,paper,image21
what is the colour of the liquid,green,image776
what is the object close to the wall,whiteboard,image31
what is the object close to the wall,poster_board,image992
how many squer tables are there,1,image342
what is beneath the lamp,drawer,image514
what is on the left side of the bookshelf,picture,image384
what is the machine placed on the counter close to the wall,printer,image11
what is on the right side of the curtains,bathtub,image649
what is on the left side of the sink,bottle,image684
how many sofa side tables are in the living room,2,image1337
how many drawers are there,7,image875
what is the object on the floor close to the shelves,step_stool,image104
how many electric toothbrushes are close to the sink,3,image509
what is on the night stand,"laptop, clothes",image79
what is the object on the floor in front of the wall,sofa,image618
how many pictures are there close to the wall,3,image1161
what is the white cloth on the right side of the sink,towel,image861
what is on the handle,towel,image876
how many open doors are there,1,image212
what is on the left side of the wall,chair,image602
what is the largest object,table,image1394
what is the largest object,bed,image953
what is the object close to the wall,whiteboard,image120
what is on the right side of the paper,bread,image860
what is right side of the cup,towel,image46
what is on the floor on the left side of the desk,bicycle,image78
what is on the right side of the stamp,picture,image481
what is in front of the piano on the runner rug,piano_bench,image1279
what color is the wall behind the leather chair,brown,image384
what color is the side table on the left side of the sofa,brown,image488
what is in front of the bathtub,toilet,image718
what is on the left side of the tissue roll,cup,image874
what is on the left side of the mat,book,image551
what is the object on the counter left of the soft toy,laptop,image634
what is on the left side of the faucet with black cap,bottle_of_listerine,image509
what is the object close to the counter,sink,image127
what is the object on the table left of the sofa,plant,image1245
what is the colour of the carpet,gray,image593
how many doors are not fixed,1,image420
what is the blue object in the black pen stand,scissor,image11
what is the object in the spice rack close to the wall,spice_bottle,image132
what is in front of the picture,"chair, table",image843
what is on the left side of the toilet,garbage_bin,image497
what is on the left side of the drawers,coat_hanger,image520
what is in front of the table,bowl,image899
what are the objects kept in the shelves,books,image1196
how many printers are there,2,image38
what is on the table,lamp,image488
what is the white sheet stuck close to the wall,projector_screen,image20
how many chairs are there,3,image613
what is in front of the lamp,fan,image73
what is the largest object on the table,lamp,image1161
what is the object to which the jackets are hung,hangers,image116
what is the object close to the wall above the table,cabinet,image577
what is on the right side of the electrical mixer,salt_shaker,image855
what is on the wall,picture,image622
what is the object close to the wall,poster_board,image621
how many white paper folders are on the desk,2,image390
what is in the top shelf of the book case,book,image171
what is on the shelf,"light_bulb, towel",image502
what is the object on top of the chair close to the wall,basketball_hoop,image59
what is in front of the white door on the left side of the desk,telephone,image3
how many square tables are there,1,image120
what is in the hanger,towel,image497
what is on the window,curtain,image580
what is on the left side of the tap,bottle_of_liquid,image734
what is the colour of the teddy bear,brown,image67
how many cables are visible,6,image25
what is in front of the left rack,stand,image104
what is on the right side of the telephone,tissue_roll,image856
what is the largest object,bed,image1066
what is the light brown object in the right corner,dresser,image63
how many chairs are there,3,image41
how many mugs are on the table in front of the wall,1,image42
how many chairs are there,2,image470
what is the object on the side rack that rotates,notecards,image101
what is on the top of the monitor on the cash desk,soft_toy,image114
what is the white object between the bathroom basin and the door,toilet,image44
what is on the left side of the picture,mirror,image653
what is on the left side of the paper on the table,telephone,image475
what is on the left side of the tap,ornamental_plant,image902
what is on the right side of the toilet,tissue_roll,image685
what is on the right most side on the table,lamp,image614
what is on the left side of the printer,door,image558
how many chairs are there,2,image630
what is on the left side of the door,ornamental_plant,image798
what is on the wall on the left side of the door and on the right side of the picture,fire_alarm,image15
what are object on the top shelves of the shelf frame,books,image25
what is on the left side of the chair,window,image801
what is the object on the shelves,cup,image102
what is seen in the mirror reflection,curtain,image651
what color is the sofa,brown,image1329
what is the object close to the counter,stove,image905
how many coffee machines are there,2,image121
how many lights are there,4,image461
how many ladders are in this picture,1,image87
what is the largest object,bed,image1004
what are the objects on the coffee table,"book, decorative_bowl",image1288
what is on the left side of the tap,cup,image665
what is on the right side of the toilet,tissue_roll,image689
what is on the left side of the wooden wall,"chair, stool",image478
what is on the wall,"whiteboard, light",image632
what is on the wall,picture,image474
what is on the left side of the table,stool,image408
